python_name,Type,h2_rich_EUR_low_Y0,h2_rich_EUR_low_Y1,h2_rich_EUR_low_Y2,h2_rich_EUR_low_Y3,h2_rich_EUR_low_Y4,h2_rich_EUR_low_Y5,h2_rich_EUR_low_Y6,h2_rich_EUR_low_Y7,h2_rich_EUR_low_Y8,h2_rich_EUR_low_Y9,h2_rich_EUR_low_Y10,h2_rich_EUR_low_Y11,h2_rich_EUR_low_Y12,h2_rich_EUR_low_Y13,h2_rich_EUR_low_Y14,h2_rich_EUR_low_Y15,h2_rich_EUR_low_Y16,h2_rich_EUR_low_Y17,h2_rich_EUR_low_Y18,h2_rich_EUR_low_Y19,h2_rich_EUR_low_Y20,h2_rich_EUR_low_Y21,h2_rich_EUR_low_Y22,h2_rich_EUR_low_Y23,h2_rich_EUR_low_Y24,h2_rich_EUR_low_Y25,h2_rich_EUR_low_Y26,h2_rich_EUR_low_Y27,h2_rich_EUR_low_Y28,h2_rich_EUR_low_Y29
downhole_pump_option,str,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on,downhole_pump_on
dehydrator_option,str,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off,dehydrator_off
agr_option,str,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off,agr_off
waste_gas_treatment,str,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation,onsite_electricity_generation
onsite_generation_waste_gas_reinjection,int,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
waste_water_option,str,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge,surface_discharge
downhole_pump,int,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
water_reinjection,int,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
natural_gas_reinjection,int,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
water_flooding,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
